,Training Time (s),CV R² (mean),CV R² (std),Train R²,Test R²,Train MAE,Test MAE,Train RMSE,Test RMSE,Train MAPE,Test MAPE
SVR,0.032539,0.8325824718524822,0.012594235637033517,0.9229484805617433,0.8683620664755227,1.6107850083981134,2.648068776435015,2.510189300467697,3.28910081764645,0.02085676658050948,0.03450396437211044
CatBoost,0.357976,0.8238734830083552,0.025208371325605727,0.9372070411753062,0.858037007733906,1.8088186267518103,2.7404183127799566,2.2660596841053215,3.415656824267826,0.02333000674448674,0.036578005214521384
LightGBM,0.069655,0.7987128269698575,0.018553019462953933,0.9644143344070479,0.8379502637717577,1.3206186360233587,2.906234706782887,1.7058994024019392,3.6493105437864046,0.017126489565374638,0.03858236650535399
XGBoost,0.136574,0.7730305899902238,0.024660831197648354,0.9898883986897428,0.8212803309930081,0.6846325362566045,3.0524864853886804,0.9093390451051316,3.8324176657177107,0.008709658288447986,0.040400312381529545
Linear Regression,0.018023,0.7642782469089117,0.030090509105768264,0.7826217722004088,0.794786209242202,3.447046445598115,3.3333957556789686,4.216226099545363,4.106671167566385,0.044640176459933754,0.04424682231627423
Ridge,0.008003,0.764426253746098,0.029527379627161975,0.7825875926097362,0.7945413553714195,3.4495419349136536,3.333962472919487,4.21655755688451,4.109120404931143,0.0446814063064684,0.04427308572761075
Gradient Boosting,0.174753,0.7539596855297785,0.029667484190137643,0.9956540523810862,0.7875961353754395,0.45674733480003554,3.2926599915492716,0.5961535221852206,4.1779945088038035,0.005807099233615844,0.04402456901531665
Lasso,0.009,0.7592557579773611,0.026789673396186316,0.7775913859264522,0.7872821984330831,3.5138841762659037,3.3598877308849153,4.2647312878309,4.181080946353075,0.04561497165842674,0.04474102894945996
ElasticNet,0.008004,0.7535278761892534,0.023168720815304033,0.7702355168593568,0.7768871161296222,3.5702526077646417,3.4375247660850596,4.334682761950834,4.282022870549742,0.04647646025510765,0.04609365684388946
Random Forest,0.173636,0.7163184320126499,0.03442411095742099,0.9582540254775948,0.7513393248006255,1.4680284471860614,3.6690099225699617,1.847664745444614,4.520538912387103,0.01915702305803122,0.04945670616307684
Decision Tree,0.010006,0.40695220096627016,0.16837885570957742,0.9843304361967617,0.3630396834265821,0.5137932856902596,5.713596191450068,1.131994518806822,7.235071805927272,0.006200145056245612,0.07588449676466773
