threshold,coverage,accuracy_on_accepted
0.2,1.0,0.5944444444444444
0.25,1.0,0.5944444444444444
0.30000000000000004,0.9944444444444445,0.5977653631284916
0.35000000000000003,0.9583333333333334,0.6057971014492753
0.4,0.8777777777777778,0.6075949367088608
0.45,0.725,0.632183908045977
0.5,0.5888888888888889,0.6462264150943396
0.55,0.4888888888888889,0.6363636363636364
0.6000000000000001,0.41944444444444445,0.609271523178808
0.65,0.31666666666666665,0.6228070175438597
0.7,0.24166666666666667,0.6436781609195402
0.75,0.18888888888888888,0.6911764705882353
0.8,0.10833333333333334,0.7948717948717948
0.8500000000000001,0.06944444444444445,0.88
0.9000000000000001,0.03611111111111111,0.7692307692307693
0.95,0.011111111111111112,1.0
